booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
, Takeout,  $    $      ,Pan-Asian,Midtown West,(1),4.4 stars out of 5,Hani Pacific - Nordstrom New York City
,2,  $    $      ,American,Hell's Kitchen,(98),4.1 stars out of 5,Route 66
,2,  $    $      ,Japanese,Midtown East,(2339),4.6 stars out of 5,"Gyu-Kaku - New York, NY | Midtown"
, Delivery partners,  $    $      ,Contemporary American,Chelsea,(37),4.6 stars out of 5,Jack's Wife Freda - Chelsea
,2,  $    $      ,Chinese,Midtown West,(104),4.1 stars out of 5,Red Peony
, Delivery partners,  $    $      ,Italian,Midtown West,(1455),4.6 stars out of 5,PizzArte
,,  $    $      ,Fusion / Eclectic,Chelsea,(3867),4.5 stars out of 5,TAO Downtown
,2,  $    $      ,Japanese,Midtown West,(4058),4 stars out of 5,Benihana - New York
,,  $    $    $    ,Japanese,Chelsea,(244),4.6 stars out of 5,SushiNao
, Takeout,  $    $      ,Italian,Midtown West,(1384),4.6 stars out of 5,Patzeria Family & Friends
,,  $    $    $    ,Italian,West Village,(199),4.5 stars out of 5,Sotto 13
,,  $    $      ,American,Midtown West,(752),4.5 stars out of 5,Jams - NYC
, Delivery partners,  $    $      ,Italian,Midtown East,(256),4.2 stars out of 5,Angelo Bellini Italian Restaurant
,,  $    $      ,Comfort Food,Union Square,(7759),4.4 stars out of 5,Max Brenner - Union Square
,,  $    $    $    $  ,Japanese,West Village,(244),4.7 stars out of 5,Kosaka
,,  $    $      ,Contemporary American,Theater District / Times Square,(1795),4.2 stars out of 5,Don't Tell Mama NYC
, Takeout,  $    $    $    $  ,Steakhouse,Midtown East,(2542),4.6 stars out of 5,The Palm Too
,,  $    $      ,Asian,Theater District / Times Square,,,Manting Restaurant
, Delivery partners,  $    $      ,Chinese,Hell's Kitchen,,,Ollie's
,,  $    $      ,Italian,Gramercy / Flatiron,,,Big Slice (the)
, Takeout,  $    $      ,Spanish,Gramercy / Flatiron,(897),4.6 stars out of 5,Sala One Nine
,,  $    $    $    $  ,Contemporary American,Midtown East,(1052),4 stars out of 5,Peacock Alley - Waldorf Astoria New York
,,  $    $      ,Thai,Theater District / Times Square,(1),5 stars out of 5,Pongsri Thai
,,  $    $      ,Italian,Theater District / Times Square,(5202),4.2 stars out of 5,Esca
,,  $    $    $    $  ,American,Hell's Kitchen,,,Adella
,2,  $    $      ,Thai,Chelsea,(11),4.2 stars out of 5,Royal Siam Thai Cuisine
,,  $    $      ,American,Theater District / Times Square,,,Roast Kitchen
, Delivery partners,  $    $      ,American,Gramercy / Flatiron,(2),3 stars out of 5,Burger & Lobster - NY
,,  $    $    $    $  ,American,Gramercy / Flatiron,,,Flatiron Lounge
,,  $    $    $    ,American,Kips Bay,(2),4.3 stars out of 5,Bluebell Cafe
,,  $    $      ,Vegetarian / Vegan,Gramercy / Flatiron,(6),3.3 stars out of 5,VSPOT Organic - Gramercy
, Takeout,  $    $    $    ,Italian,Chelsea,(241),4.5 stars out of 5,Le Zie 2000
,,  $    $      ,Turkish,Midtown East,(145),4.6 stars out of 5,Sip Sak
,,  $    $    $    ,French,Midtown West,(3694),4.5 stars out of 5,Benoit Restaurant and Wine Bar
,,  $    $      ,Mediterranean,Union Square,(120),4.3 stars out of 5,Pierre Loti Union Square
,,  $    $    $    $  ,Sushi,Union Square,(1106),4.6 stars out of 5,15 East Restaurant
, Takeout,  $    $    $    ,Italian,Midtown West,(2350),4.7 stars out of 5,Il Corso (New York City)
,2,  $    $      ,Pizzeria,Chelsea,(181),4.5 stars out of 5,Ovest Pizzoteca
,,  $    $    $    ,American,Midtown West,(1411),4.6 stars out of 5,Michael's
,,  $    $      ,Seafood,Midtown East,(1987),4.6 stars out of 5,Crave Fishbar - Midtown
,,  $    $    $    ,French,Midtown East,(10),4.6 stars out of 5,Bar Shun
,,  $    $    $    ,Spanish,Chelsea,(2011),4.7 stars out of 5,Salinas
, Takeout,  $    $    $    ,Italian,Midtown West,(807),4.6 stars out of 5,Mozzarella & Vino
,,  $    $      ,Continental,Chelsea,(612),4.4 stars out of 5,Gallow Green
,,  $    $    $    $  ,Afternoon Tea,Midtown West,(96),4.3 stars out of 5,Gotham Lounge
,,  $    $    $    $  ,Italian,Midtown West,(1432),4.8 stars out of 5,Il Tinello
, Takeout,  $    $    $    ,French,Midtown East,(531),4.5 stars out of 5,Le Bateau Ivre
,,  $    $    $    ,Spanish,Midtown East,(814),4.4 stars out of 5,Socarrat Paella Bar - Midtown East
,,  $    $    $    ,American,Midtown West,(264),3.7 stars out of 5,Murals on 54 Restaurant and Randolph's Bar And Lounge
