booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
,2,  $    $    $    $  ,American,SoHo,(162),4.2 stars out of 5,Harold's
,2,  $    $    $    $  ,Italian,Financial District,(667),4.4 stars out of 5,Cipriani Club 55 Restaurant
, Takeout,  $    $    $    ,Italian,SoHo,(928),4.7 stars out of 5,Aurora Soho
,2,  $    $      ,Italian,Upper East Side,(413),4.6 stars out of 5,Italianissimo
,2,  $    $    $    ,American,West Village,(224),4.7 stars out of 5,The Leroy House
,2,  $    $    $    ,Italian,Upper East Side,(179),4.5 stars out of 5,IL Divo
, Takeout,  $    $    $    ,Italian,Financial District,(34),4.3 stars out of 5,Ampia Rooftop & Gnoccheria - Wall St.
, Takeout,  $    $    $    ,Seafood,Little Italy,(93),4.5 stars out of 5,Seamore's Nolita
, Takeout,  $    $    $    ,Italian,SoHo,(331),4.8 stars out of 5,San Marino Soho
, Delivery partners,  $    $    $    ,Italian,Little Italy,(174),4.3 stars out of 5,Piacere
, Takeout,  $    $    $    $  ,French,SoHo,(70),4.5 stars out of 5,Bistrot Leo
,2,  $    $      ,Italian,TriBeCa - Downtown,(988),4.6 stars out of 5,Gigino Trattoria
,2,  $    $      ,Italian,NoHo,(66),4.4 stars out of 5,Quartino Bottega Organica
, Delivery partners,  $    $    $    ,American,Upper East Side,(307),4.5 stars out of 5,Island
,,  $    $      ,Italian,TriBeCa - Downtown,(508),4.6 stars out of 5,Max - Tribeca
,,  $    $    $    ,Latin American,Upper West Side,(3893),4.6 stars out of 5,Calle Ocho
,2,  $    $      ,Contemporary Asian,Lower East Side,(2021),4.7 stars out of 5,Ivan Ramen
, Delivery partners,  $    $    $    ,Italian,Upper East Side,(106),4.4 stars out of 5,IL Carino Restaurant
,2,  $    $      ,Comfort Food,SoHo,(603),4.7 stars out of 5,Westville Hudson
, Delivery partners,  $    $      ,Georgian,East Village,(440),4.5 stars out of 5,Oda House
,,  $    $      ,French,Upper East Side,(609),4.5 stars out of 5,Jean Claude 2
,2,  $    $      ,Italian,NoLita,(175),4.5 stars out of 5,Fiat Cafe
,2,  $    $      ,Vegetarian / Vegan,East Village,(596),4.8 stars out of 5,Divya's Kitchen
, Takeout,  $    $      ,French,Upper West Side,(672),4.4 stars out of 5,Cafe Du Soleil
,,  $    $      ,American,Upper East Side,(133),4.4 stars out of 5,Five Mile Stone
,2,  $    $    $    ,Laotian,TriBeCa - Downtown,(969),4.6 stars out of 5,Khe-Yo
,,  $    $      ,Italian,Little Italy,(748),4.5 stars out of 5,Paesano of Mulberry Street
,2,  $    $      ,Italian,SoHo,(902),4.3 stars out of 5,Galli Restaurant SoHo
, Takeout,  $    $      ,Cocktail Bar,Lower East Side,,,Kind Regards
, Takeout,  $    $    $    ,Seafood,Battery Park,(100),4.4 stars out of 5,Seamore's Brookfield Place
, Takeout,  $    $    $    $  ,Italian,SoHo,(2441),4.6 stars out of 5,Peasant
, Takeout,  $    $    $    ,Eastern European,East Village,(406),4.7 stars out of 5,Kafana
, Takeout,  $    $      ,Italian,Upper West Side,(276),4.8 stars out of 5,Osteria 106
, Takeout,  $    $    $    ,Seafood,East Village,(164),4.1 stars out of 5,Lamia's Fish Market
, Takeout,  $    $    $    ,French,SoHo,(77),4.4 stars out of 5,Troquet
, Takeout,  $    $    $    ,French,TriBeCa - Downtown,(94),4.5 stars out of 5,Yves
,2,  $    $      ,Vietnamese,NoLita,(129),4.4 stars out of 5,BoCaphe
,,  $    $    $    $  ,Sushi,Gramercy / Flatiron,(67),4.5 stars out of 5,TEISUI
,,  $    $      ,Sushi,NoMad,,,Noda
,,  $    $      ,Mexican,Murray Hill,,,Lime Jungle
,2,  $    $      ,Mediterranean,Murray Hill,(12),4.5 stars out of 5,Miraj Healthy Grill - Manhattan
,,  $    $      ,Contemporary American,Chelsea,(59),3.6 stars out of 5,Madison Square Tavern
, Delivery partners,  $    $      ,American,Midtown West,,,Bon Chon Chicken
,,  $    $      ,Tapas / Small Plates,NoMad,(8),3.1 stars out of 5,The Blue Rooftop
,,  $    $      ,Contemporary American,NoMad,(4),4.3 stars out of 5,114 @ THE MARMARA PARK AVENUE
,,  $    $      ,American,Theater District / Times Square,,,Cafe Grumpy
,,  $    $      ,American,Midtown West,,,Fika
,2,  $    $      ,Thai,NoMad,(297),4.7 stars out of 5,Sabai Thai Restaurant
,,  $    $      ,Gastro Pub,Garment District / Flower District,,,Harrington's
,,  $    $      ,Barbecue,Garment District / Flower District,,,Mexicue - Times Square
,,  $    $      ,American,Theater District / Times Square,,,Ben's Kosher Deli Restaurant
,,  $    $      ,American,Midtown West,,,Tagine Dining Gallery
,,  $    $      ,American,Murray Hill,(10),4.1 stars out of 5,California Pizza Kitchen - Park Avenue South - PRIORITY SEATING
,,  $    $      ,French,Midtown West,,,Kreuther Handmade Chocolate
,,  $    $    $    ,Greek,Chelsea,(394),3.5 stars out of 5,Mykonos Blue
,,  $    $      ,Greek,Chelsea,(97),,Mykonos Blue Rooftop
, Delivery partners,  $    $      ,Japanese,Chelsea,,,A Canaan Sushi
,,  $    $      ,Lebanese,Murray Hill,(80),4 stars out of 5,Byblos - NYC
,,  $    $      ,Sushi,Midtown West,,,L Z Sushi
,,  $    $      ,American,Midtown East,(50),4.3 stars out of 5,Stout NYC Grand Central
,,  $    $    $    $  ,American,Garment District / Flower District,,,Juniper Bar
,,  $    $      ,Burgers,Midtown West,,,Cafe Thirty First
,,  $    $      ,American,Murray Hill,,,Murray Hill Diner
,2,  $    $      ,Latin / Spanish,Midtown West,(28),,Cafe Nunez
,,  $    $      ,Italian,Midtown East,,,Food Trends
, Delivery partners,  $    $      ,Gastro Pub,Gramercy / Flatiron,(20),4 stars out of 5,John Doe Bar & Kitchen
,,  $    $      ,Mexican,NoMad,,,Mexicangrill Incorporated
,,  $    $    $    $  ,Barbecue,Gramercy / Flatiron,,,Ziya
,,  $    $      ,American,Garment District / Flower District,,,Johnson Club Room
,,  $    $      ,Thai,Murray Hill,,,Toon Thai Cafe
,,  $    $    $    $  ,Mediterranean,NoMad,(149),4.9 stars out of 5,Benno
,,  $    $      ,Café,Gramercy / Flatiron,,,230 FIFTH
,,  $    $      ,Asian,Garment District / Flower District,,,Ootoya - Times Square
, Takeout,  $    $      ,Steakhouse,Murray Hill,(23),3.6 stars out of 5,Atto Prime Meats and Seafood
,,  $    $    $    ,Fusion / Eclectic,Murray Hill,,,Grand Sichuan - Murray Hill
,,  $    $    $    ,Italian,Gramercy / Flatiron,(155),4.6 stars out of 5,Leonelli Taberna
,,  $    $      ,Grill,Chelsea,,,Mulberry And Vine
,,  $    $      ,American,Chelsea,,,Mulberry & Vine
,,  $    $      ,Sushi,Midtown West,,,Wasabi Sushi Bento
, Takeout,  $    $      ,Asian,Murray Hill,(12),4 stars out of 5,Chef 28
, Delivery partners,  $    $      ,Asian,Chelsea,,,Ajisen Ramen
, Takeout,  $    $    $    ,Contemporary French,NoMad,(3),4.2 stars out of 5,Royalton Brasserie
, Takeout,  $    $      ,Korean,Murray Hill,(74),4 stars out of 5,Atomix
,,  $    $    $    ,Italian,Gramercy / Flatiron,(698),4 stars out of 5,Asellina Ristorante
,2,  $    $      ,Italian,Gramercy / Flatiron,(1577),4.7 stars out of 5,La Pecora Bianca - NoMad
,,  $    $      ,Japanese,Chelsea,,,Izumi Sushi
,,  $    $      ,American,Murray Hill,,,Lucid Cafe
,,  $    $    $    ,American,Midtown West,(709),3.9 stars out of 5,Seven Bistro
,,  $    $      ,Mexican,Gramercy / Flatiron,,,Mexicue - Flatiron
,,  $    $      ,American,Gramercy / Flatiron,,,Bread & Butter
,,  $    $    $    ,Italian,Midtown West,(1669),4.1 stars out of 5,Lugo Cucina
, Delivery partners,  $    $      ,Italian,Murray Hill,(1),5 stars out of 5,Vezzo
,,  $    $      ,American,Chelsea,,,Taste Buds
, Takeout,  $    $      ,British,Midtown West,(402),4.3 stars out of 5,Carragher’s
,,  $    $      ,English,Chelsea,,,Triple Crown Restaurant & Ale House
,,  $    $      ,Korean,NoMad,,,ATOBOY
,,  $    $      ,American,Theater District / Times Square,,,Guy & Gallard
,,  $    $      ,Grill,Gramercy / Flatiron,,,Vin Sur Vingt
, Takeout,  $    $      ,Indian,Theater District / Times Square,(6),4.3 stars out of 5,Indian Project
,,  $    $      ,Sushi,Murray Hill,,,Sushi Zo Midtown
,,  $    $      ,Café,Gramercy / Flatiron,,,The Hog Pit
,,  $    $      ,Contemporary American,Midtown West,(9),4.2 stars out of 5,St. Cloud
,,  $    $      ,American,Midtown West,,,Back Stage Eatery
,,  $    $      ,Comfort Food,Gramercy / Flatiron,(7),3.1 stars out of 5,Toshi's Living Room & Penthouse
, Delivery partners,  $    $      ,American,Midtown West,,,City Cafe
,,  $    $      ,Italian,NoMad,,,Il Fiorista
,,  $    $      ,American,Theater District / Times Square,,,Island Cafe
,,  $    $    $    ,Belgian,NoMad,(221),4 stars out of 5,Belgian Beer Café NoMad
, Takeout,  $    $      ,French,Gramercy / Flatiron,(4201),3.9 stars out of 5,Les Halles Park Avenue - Permanently Closed
,,  $    $      ,American,Murray Hill,,,The Junction
,,  $    $      ,Italian,Murray Hill,,,Roma Nova Restaurant
,,  $    $    $    ,Gastro Pub,Gramercy / Flatiron,(1054),3.7 stars out of 5,Resto
,,  $    $      ,Thai,Murray Hill,,,Rhong Tiam
,,  $    $      ,Sushi,Murray Hill,,,Mishima
,,  $    $      ,Greek,Chelsea,,,Greek Corner
,,  $    $      ,American,Murray Hill,,,S'mac
, Takeout,  $    $      ,American,Theater District / Times Square,(190),3.7 stars out of 5,Ruby Tuesday - Times Square
,,  $    $      ,Japanese,Chelsea,,,Wasabi
,,  $    $      ,Japanese,Gramercy / Flatiron,(104),4.4 stars out of 5,Izakaya NoMad
,,  $    $    $    ,American,Gramercy / Flatiron,(934),4.4 stars out of 5,Maysville
,,  $    $      ,Latin American,Chelsea,,,Latin American Restaurant Corporation
,,  $    $    $    $  ,American,NoMad,(2),4.7 stars out of 5,Black Barn Chef's Table
,,  $    $    $    $  ,American,Murray Hill,,,Rose Bakery - DSNY
,,  $    $    $    $  ,American,Garment District / Flower District,,,The Princeton Club of New York
, Takeout,  $    $      ,American,Theater District / Times Square,(144),4.3 stars out of 5,Gleason's Tavern
, Takeout,  $    $    $    ,Sushi,Midtown West,(763),4.6 stars out of 5,Sen Sakana
,,  $    $      ,American,Midtown West,,,Ruby Tuesday
,,  $    $      ,American,Murray Hill,,,Scottys Diner
,,  $    $      ,Grill,Murray Hill,,,Pino Wine Bar
,,  $    $      ,American,Chelsea,,,Lunch Cafe Incorporated
,2,  $    $      ,Sushi,Murray Hill,(153),4 stars out of 5,Nomado 33
, Takeout,  $    $      ,American,Midtown West,(252),3.9 stars out of 5,The Houndstooth Pub
, Takeout,  $    $      ,American,Murray Hill,(117),4.5 stars out of 5,Cask Bar & Kitchen
,,  $    $      ,American,Garment District / Flower District,(1),5 stars out of 5,Pershing Square
,,  $    $      ,American,Midtown East,,,Blooms Delicatessen
,,  $    $      ,American,Murray Hill,,,Penelope Cafe
, Takeout,  $    $      ,Mediterranean,Murray Hill,(124),4.1 stars out of 5,Lallisse Mediterranean Wine & Food
,,  $    $      ,Thai,Chelsea,,,Song Kran
, Takeout,  $    $      ,American,Theater District / Times Square,(23),3.1 stars out of 5,Gotham Bistro
,,  $    $      ,Dim Sum,Kips Bay,(55),4.3 stars out of 5,Dynasty Dim Sum
, Takeout,  $    $      ,Low Country,Gramercy / Flatiron,(17),3.7 stars out of 5,Live Bait
, Delivery partners,  $    $      ,Italian,Murray Hill,,,Rock Ii
,,  $    $      ,Tapas / Small Plates,Midtown West,,,Margon Restaurant Corporation
,,  $    $    $    ,Seafood,Chelsea,,,Francisco's Centro Vasco
,,  $    $      ,Asian,Midtown West,,,Sunny's Best Food
,,  $    $      ,Contemporary American,Theater District / Times Square,(33),3.5 stars out of 5,Sky Room
,,  $    $      ,Japanese,Kips Bay,,,East Japanese Restaurant
,,  $    $      ,Thai,Chelsea,,,Pongsri Thai
, Delivery partners,  $    $      ,American,Murray Hill,(1),5 stars out of 5,Hill and Bay
, Delivery partners,  $    $      ,Indian,Chelsea,(61),3.9 stars out of 5,Patiala Indian Grill
,2,  $    $    $    ,Asian,Murray Hill,(78),4.2 stars out of 5,Sachi
,,  $    $      ,American,Chelsea,(23),4.1 stars out of 5,The Chelsea Bell
,,  $    $      ,Pizzeria,Theater District / Times Square,,,John's Pizzeria
, Takeout,  $    $      ,Steak,Gramercy / Flatiron,,,Outback Steakhouse - New York
,,  $    $    $    $  ,Kosher,Theater District / Times Square,,,Le Marais
,,  $    $      ,Indian,Chelsea,,,Bombay Garden NY
,,  $    $      ,American,Murray Hill,,,Town House Inn Restaurant
, Delivery partners,  $    $      ,Vietnamese,Murray Hill,,,Sai Gon Dep
,,  $    $      ,American,Midtown East,,,Oceana Restaurant
, Takeout,  $    $      ,Thai,Hell's Kitchen,(17),3.9 stars out of 5,Aura Thai - NY
,,  $    $      ,American,Rockefeller Center Midtown,,,Blake & Todd Restaurant
,,  $    $      ,Fusion / Eclectic,Theater District / Times Square,,,Avi Taam Tov Corporation
,,  $    $      ,American,Murray Hill,,,Albion
, Takeout,  $    $      ,Italian,Hell's Kitchen,(367),4.3 stars out of 5,Tavola
, Takeout,  $    $      ,Italian,Kips Bay,(20),4.3 stars out of 5,Todaro Bros Enoteca
,2,  $    $      ,Thai,Chelsea,(295),4 stars out of 5,Thai Select
,,  $    $    $    ,Thai,Theater District / Times Square,,,Larb Ubol
,,  $    $      ,Barbecue,Theater District / Times Square,(13),3 stars out of 5,Sammy's House of BBQ - 44th St
, Takeout,  $    $      ,Chinese (Sichuan),Theater District / Times Square,,,Sichuan Manor
,,  $    $      ,American,Gramercy / Flatiron,,,Avi Baruch College-cafe Primar
,,  $    $      ,American,Chelsea,,,World Of Beer
,,  $    $    $    $  ,Sushi,Turtle Bay,,,Sushi Yasuda
,,  $    $      ,American,Gramercy / Flatiron,,,Mad Hatter
, Delivery partners,  $    $      ,Italian,Chelsea,,,Sergimmo Salumeria
,,  $    $      ,Italian,Gramercy / Flatiron,,,Olive Garden - New York - Gramercy / Flatiron
,,  $    $      ,Korean,Chelsea,,,Hanki
,,  $    $      ,Grill,Chelsea,,,Twins Pub Incorporated
, Delivery partners,  $    $      ,American,Gramercy / Flatiron,,,Sunflower Diner
,,  $    $      ,Irish,Chelsea,(1),3.5 stars out of 5,McGarry's
,,  $    $      ,Puerto Rican,Theater District / Times Square,,,J Casa NYC
,,  $    $      ,American,Gramercy / Flatiron,,,Metropolitan Room
,,  $    $    $    ,Contemporary American,Theater District / Times Square,(1158),3.6 stars out of 5,Angus' Cafe Bistro
,,  $    $      ,Southern,Theater District / Times Square,,,East Broadway Cafe
,,  $    $      ,American,Chelsea,,,Entertainment Connection
, Takeout,  $    $      ,Irish,Midtown East,(223),4.6 stars out of 5,Maggie's Place
,,  $    $      ,American,Theater District / Times Square,,,The Collage Bar & Bistro
,,  $    $      ,Sushi,Midtown West,,,Sushi Lab - Midtown
, Delivery partners,  $    $      ,American,Chelsea,,,Skylight Diner
, Delivery partners,  $    $      ,American,Chelsea,,,By Chloe
,,  $    $    $    ,Sushi,Midtown East,,,Kuruma Zushi
,,  $    $      ,Italian,Kips Bay,,,Lena's Italian Kitchen
,,  $    $    $    ,Japanese,Rockefeller Center Midtown,,,Katsu-Hama
,,  $    $      ,Italian,Chelsea,,,Olive Garden
,,  $    $      ,Sushi,Midtown West,,,Sushi Zen
,,  $    $      ,Italian,Murray Hill,,,Abitino Pizzeria & Restaurant
,,  $    $    $    $  ,Spanish,Murray Hill,,,El Pote
,,  $    $      ,American,Murray Hill,,,Tuttles
,,  $    $      ,Grill,Midtown East,,,Muldoon S Irish Pub
,,  $    $      ,Mexican,Midtown East,,,Oaxaca Mexican Grill
,,  $    $    $    ,American,Theater District / Times Square,,,Broadway Lounge
,,  $    $      ,American,Theater District / Times Square,(12),3.2 stars out of 5,Highbar
,,  $    $      ,American,Theater District / Times Square,(4),3.5 stars out of 5,Tranzit
,,  $    $      ,American,Gramercy / Flatiron,(654),3.9 stars out of 5,Sagaponack Bar and Grill
,,  $    $      ,American,Midtown East,,,Grand Central Star Cafe
,,  $    $      ,Chinese,Kips Bay,,,Peace Chinese Reataurant
,,  $    $      ,American,Midtown West,,,Evergreen Coffee Shop Restaurant
,,  $    $      ,Vegan,Gramercy / Flatiron,,,by. CHLOE 22nd Street
,,  $    $      ,American,Chelsea,,,Chelsea Savoy
,,  $    $      ,European,Hell's Kitchen,,,Les Halles West
,,  $    $      ,Japanese,Midtown East,,,Menchanko-Tei
, Takeout,  $    $      ,American,Kips Bay,(5),4.1 stars out of 5,Bottomzup Bar & Grill NYC
,,  $    $      ,American,Midtown East,,,Midtown Eatery Inc
,,  $    $      ,English,Kips Bay,,,Failte
,,  $    $      ,American,Gramercy / Flatiron,,,Brgr
,,  $    $      ,Thai,Midtown East,,,Thai Nam Restaurant
,,  $    $      ,Japanese,Midtown West,,,TSURUTONTAN MIDTOWN
,,  $    $      ,Barbecue,Chelsea,,,Rub BBQ
,,  $    $      ,Sushi,Gramercy / Flatiron,,,Organique
,,  $    $      ,Sushi,Kips Bay,,,Kb Sushi And Dumpling House
,,  $    $      ,American,Midtown East,,,Uncle Charlie's
, Delivery partners,  $    $      ,Gastro Pub,Kips Bay,,,Waterfront Ale House
,,  $    $      ,Chinese,Rockefeller Center Midtown,,,Wu Liang Ye
,,  $    $    $    ,Sushi,Gramercy / Flatiron,,,Sushi Seki - Chelsea
,,  $    $      ,Japanese,Midtown East,(3),5 stars out of 5,Restaurant Riki
,,  $    $      ,American,Gramercy / Flatiron,,,Cafe Au Lait
, Takeout,  $    $    $    ,Pizzeria,Chelsea,(25),4.1 stars out of 5,Lombardi's - Chelsea
, Takeout,  $    $      ,Thai,Hell's Kitchen,(23),3.7 stars out of 5,Lucky Ace
, Takeout,  $    $    $    ,Italian,Midtown East,(739),4 stars out of 5,Gente
,,  $    $      ,American,Theater District / Times Square,(7),3 stars out of 5,Ginger's Restaurant at The Doubletree Times Square
,,  $    $    $    $  ,Japanese,Midtown East,(618),4.5 stars out of 5,Sakagura
,,  $    $      ,Asian,Rockefeller Center Midtown,,,Roll & Noodle
,,  $    $      ,Kosher,Rockefeller Center Midtown,,,Cafe K
,,  $    $    $    $  ,Steakhouse,Rockefeller Center Midtown,,,Wolf & Lamb Steakhouse & Delicatessen
,,  $    $      ,Grill,Theater District / Times Square,,,Atomic Wings
,,  $    $      ,American,Chelsea,,,Cafe Bravo Inc
,2,  $    $    $    ,Mexican,Murray Hill,(1142),4.4 stars out of 5,El Parador
,,  $    $      ,American,Rockefeller Center Midtown,,,Elis 48
,,  $    $      ,Chinese,Murray Hill,(1),3.8 stars out of 5,Chinese Club - Murray Hill
,,  $    $      ,Indian,Kips Bay,,,Tapa Indian Restaurant
,,  $    $    $    ,Latin American,Gramercy / Flatiron,(1073),4.3 stars out of 5,Raymi
,,  $    $      ,Thai,Midtown West,,,Abaya Thai Cuisine
,,  $    $      ,Sushi,Kips Bay,,,Toyo Sushi Incorporated
, Takeout,  $    $      ,Latin / Spanish,Murray Hill,(23),3.9 stars out of 5,Barlovento Latin Bistro
,,  $    $      ,Chinese,Midtown West,,,Kung Fu Kitchen
,,  $    $      ,Italian,Murray Hill,(27),4.3 stars out of 5,Sottosuolo
,,  $    $    $    $  ,American,Theater District / Times Square,(281),3.1 stars out of 5,Above
, Takeout,  $    $      ,Tapas / Small Plates,Murray Hill,(44),4.3 stars out of 5,Home Base Bistro
,,  $    $      ,Vegetarian,Rockefeller Center Midtown,,,Freefoods Nyc
,,  $    $      ,Pan-Asian,Theater District / Times Square,(93),4.1 stars out of 5,Bugis Street Brasserie and Bar Times Square
,,  $    $      ,American,Rockefeller Center Midtown,,,Cafe 45
,,  $    $      ,Thai,Kips Bay,,,Soi 30 Thai
,,  $    $      ,Italian,Theater District / Times Square,,,Park Italian Gourmet Incorporated
,,  $    $      ,Japanese,Murray Hill,,,Oka
, Delivery partners,  $    $      ,American,Murray Hill,,,Sons Of Thunder
, Delivery partners,  $    $    $    $  ,American,Gramercy / Flatiron,,,Tappo Pizza
,,  $    $    $    $  ,Contemporary American,Gramercy / Flatiron,(2581),4.6 stars out of 5,Upland
,,  $    $    $    $  ,American,Garment District / Flower District,,,Greenhouse 36
,2,  $    $      ,Indian,Murray Hill,(10),4.2 stars out of 5,Kailash Parbat
,,  $    $      ,Mexican,Murray Hill,,,La Biblioteca - NYC
,,  $    $      ,American,Theater District / Times Square,,,Bubba Gump - New York
, Takeout,  $    $    $    $  ,Italian,Midtown West,(497),3.8 stars out of 5,Re Sette
,,  $    $      ,Greek,Midtown West,(36),4.1 stars out of 5,Fournos Theophilos
,,  $    $      ,English,Midtown West,(157),4.2 stars out of 5,Cock and Bull
,,  $    $    $    ,Contemporary American,Theater District / Times Square,(199),3.8 stars out of 5,URBO Kitchens - Permanently Closed
, Delivery partners,  $    $      ,Indian,Kips Bay,,,Desi Galli
, Delivery partners,  $    $      ,American,Theater District / Times Square,,,Dallas Bbq
, Delivery partners,  $    $      ,Mexican,Chelsea,(62),4.3 stars out of 5,Tacombi Flatiron
,,  $    $      ,Contemporary American,Gramercy / Flatiron,(257),4.1 stars out of 5,Bo's Kitchen & Bar Room
,,  $    $      ,American,Hell's Kitchen,,,Cucina Express - The MetLife Building
,,  $    $      ,Bar / Lounge / Bottle Service,Rockefeller Center Midtown,,,The Beer Bar
,,  $    $    $    ,Steak,Gramercy / Flatiron,(1187),3.9 stars out of 5,The Hurricane Steak & Sushi - Permanently closed
,,  $    $      ,Tapas / Small Plates,Chelsea,,,Milanese Spanish Restaurant
, Takeout,  $    $      ,Asian,Kips Bay,(90),4.4 stars out of 5,Momokawa
,,  $    $      ,Asian,Chelsea,,,Hoa Cafe
,,  $    $    $    $  ,American,Gramercy / Flatiron,(4614),4.7 stars out of 5,Eleven Madison Park
,,  $    $      ,Italian,Midtown East,,,Cucina & Co. - MetLife Building
,,  $    $      ,American,Chelsea,(26),3.5 stars out of 5,The Blacksmith NYC Bar and Kitchen
,,  $    $      ,Sushi,Theater District / Times Square,,,Aya Sushi
,,  $    $      ,American,Chelsea,(5),3.7 stars out of 5,The Dog House Craft & Kitchen
,,  $    $      ,Japanese,Murray Hill,,,160 Maguro Sushi Incorporated
,,  $    $      ,American,Midtown East,(16),3.6 stars out of 5,The Roosevelt Grill
,,  $    $      ,Grill,Kips Bay,,,Stone Creek
,,  $    $      ,American,Theater District / Times Square,,,Cafe Mofongo
,,  $    $      ,Tapas / Small Plates,Midtown West,(55),3.3 stars out of 5,The Gastro Bar
,,  $    $      ,Chinese,Theater District / Times Square,,,Red Moon
,,  $    $      ,Japanese,Murray Hill,,,Aki 39 Japanese Cuisine
,,  $    $      ,Middle Eastern,Chelsea,,,Pars Grill House & Bar
,,  $    $    $    ,Indian,Murray Hill,(677),4.2 stars out of 5,Vatan Indian Restaurant
,,  $    $    $    ,Steakhouse,Rockefeller Center Midtown,,,Via Brasil
,,  $    $      ,Russian,Theater District / Times Square,,,Gfic Restaurant
,,  $    $      ,Gastro Pub,Kips Bay,,,Tonic East
, Delivery partners,  $    $      ,Thai,Kips Bay,,,Jaiya Thai Restaurant
,,  $    $      ,Pizzeria,Gramercy / Flatiron,,,La Piazza - Eataly NYC Flatiron
,,  $    $      ,Sushi,Theater District / Times Square,,,Big Mama Sushi
,,  $    $      ,Fusion / Eclectic,Chelsea,,,Potluck
,,  $    $      ,Contemporary American,Midtown West,,,Dear Irving On Hudson
,,  $    $      ,Burgers,Theater District / Times Square,,,Farm To Burger
, Delivery partners,  $    $      ,Asian,Chelsea,,,Abacky
,,  $    $      ,American,Theater District / Times Square,,,Starlight Deli
, Delivery partners,  $    $      ,Kosher,Rockefeller Center Midtown,,,Kosher Deluxe
,,  $    $    $    $  ,American,Rockefeller Center Midtown,,,Gotham Hotel
,,  $    $      ,Sushi,Theater District / Times Square,,,Sushi Zen Inc
,,  $    $      ,American,Theater District / Times Square,(150),4 stars out of 5,T45 at Hyatt Centric Times Square
,,  $    $      ,Bar / Lounge / Bottle Service,Theater District / Times Square,(305),4.3 stars out of 5,Bar 54 at Hyatt Centric Times Square
,,  $    $      ,American,Theater District / Times Square,,,Adventure Cafe Llc
,,  $    $      ,Chinese,Murray Hill,,,New Six Happiness Chinese Restaurant
, Delivery partners,  $    $      ,Italian,Chelsea,,,Bella Napoli - 7th Ave
, Delivery partners,  $    $      ,Indian,Kips Bay,,,Saravanaas
, Takeout,  $    $      ,American,Midtown West,(164),4 stars out of 5,O'Brien's Irish Pub
,,  $    $    $    ,European,Gramercy / Flatiron,,,TURKISH KITCHEN
, Delivery partners,  $    $      ,Turkish,Midtown West,(17),4.2 stars out of 5,Akdeniz
, Delivery partners,  $    $      ,Café,Kips Bay,,,Little Basil
,,  $    $      ,American,Rockefeller Center Midtown,,,Macchiato 3 Cafe
,,  $    $    $    $  ,Lounge,Theater District / Times Square,,,Blue
,,  $    $      ,Dessert,Gramercy / Flatiron,,,Chanson- Dessert Bar
,,  $    $      ,Mexican,Gramercy / Flatiron,,,Oxido
,,  $    $    $    ,Italian,Theater District / Times Square,,,Volare Restaurant
,,  $    $      ,American,Chelsea,,,Knf Restaurant Corporation
,,  $    $      ,Italian,Gramercy / Flatiron,,,Magia
,,  $    $      ,Contemporary Italian,Midtown West,(1053),4.2 stars out of 5,Ninos 46
, Takeout,  $    $      ,Thai,Murray Hill,(43),4.2 stars out of 5,Maison Thai
,,  $    $    $    $  ,English,Gramercy / Flatiron,(1399),4.5 stars out of 5,The Clocktower
,,  $    $      ,Greek,Midtown East,,,Kale
,,  $    $      ,American,Gramercy / Flatiron,,,Institute of Culinary Education
,,  $    $      ,Fusion / Eclectic,Chelsea,,,Mad for Chicken
,,  $    $      ,Japanese,Murray Hill,,,251 Ginza Sushi
,,  $    $      ,Seafood,Chelsea,,,Fishing Restaurant Zauo
, Delivery partners,  $    $    $    ,Sushi,Kips Bay,,,Oishi Bay
, Delivery partners,  $    $      ,Café,Murray Hill,(1),,Gemini Diner
, Delivery partners,  $    $      ,Pizzeria,Murray Hill,,,Garlic Pizza Bar
, Delivery partners,  $    $      ,Mexican,Murray Hill,,,Baby Bos
,,  $    $      ,Grill,Kips Bay,,,Tavern On Third
,2,  $    $    $    ,American,Hell's Kitchen,(57),3.6 stars out of 5,Hudson Station
, Takeout,  $    $      ,Italian,Murray Hill,(93),3.8 stars out of 5,Notaro
,,  $    $      ,American,Chelsea,,,Edamam
,,  $    $    $    $  ,Chinese,Midtown West,(3478),4.5 stars out of 5,Hakkasan - New York
,,  $    $      ,Italian,Chelsea,,,Cavallo's Of Chelsea
,,  $    $      ,Latin American,Chelsea,,,Latin American Restaurant Corporation
,,  $    $    $    $  ,American,NoMad,(2),4.7 stars out of 5,Black Barn Chef's Table
,,  $    $    $    $  ,American,Murray Hill,,,Rose Bakery - DSNY
,,  $    $    $    $  ,American,Garment District / Flower District,,,The Princeton Club of New York
, Takeout,  $    $      ,American,Theater District / Times Square,(144),4.3 stars out of 5,Gleason's Tavern
, Takeout,  $    $    $    ,Sushi,Midtown West,(763),4.6 stars out of 5,Sen Sakana
,,  $    $      ,American,Midtown West,,,Ruby Tuesday
,,  $    $      ,American,Murray Hill,,,Scottys Diner
,,  $    $      ,Grill,Murray Hill,,,Pino Wine Bar
,,  $    $      ,American,Chelsea,,,Lunch Cafe Incorporated
,2,  $    $      ,Sushi,Murray Hill,(153),4 stars out of 5,Nomado 33
, Takeout,  $    $      ,American,Midtown West,(252),3.9 stars out of 5,The Houndstooth Pub
